NUMEROORDEN,IDCERCO,IDFISCAL,EVENTO,TIEMPO,MODOFISCALIZACION,PROCESOS,EJECUCION,ADMINISTRACION,SEGURIDAD,ENTREGA,FLAG_AUDITAR
1-145336449922,233,715,TROUBLE CALL,4.600211,EN VIVO,1,1,1,1,0.833333333,1
1-145141187511,196,19361,TROUBLE CALL,50.76091,EN VIVO,1,1,1,1,1,0
1-145260149089,161,3350,TROUBLE CALL,5.073604,EN VIVO,1,1,1,1,1,1
1-144130019988,157,11964,TROUBLE CALL,5.756582,POSTERIOR,1,1,,,1,0
1-143711554348,161,3350,TROUBLE CALL,23.796907,POSTERIOR,1,0.666666667,,,1,0
1-145243681248,97,704,TROUBLE CALL,45.850655,EN VIVO,1,1,1,1,1,0
1-145220092677,97,704,TROUBLE CALL,7.735299,EN VIVO,1,1,1,1,1,1
1-144219091970,305,14228,TROUBLE CALL,18.584487,POSTERIOR,1,1,,,1,0
1-145142581004,108,14406,FISCALIZACIÓN ESPECIAL,0.0107,EN VIVO,,,,,,1
1-145159965665,171,8221,TROUBLE CALL,51.605892,EN VIVO,1,1,1,1,1,0
1-144980213635,97,704,CAMBIO TOTAL DE ACOMETIDA,0.000252,POSTERIOR,1,1,,,1,0
1-144980213635,97,704,TROUBLE CALL,52.877749,POSTERIOR,1,1,,,1,0
1-145269877262,100,14407,TROUBLE CALL,52.857076,POSTERIOR,1,1,,,1,0
1-144733969706,97,704,INSTALACIÓN,10.066044,POSTERIOR,1,1,,,1,0
1-144260584808,161,3350,TROUBLE CALL,16.679662,POSTERIOR,1,0.333333333,,,1,0
1-144827517335,100,14407,TROUBLE CALL,16.109835,POSTERIOR,1,1,,,1,0
1-143331310342,157,11964,INSTALACIÓN,2.948544,POSTERIOR,1,0.666666667,,,1,0
1-145212945166,157,11964,TROUBLE CALL,9.594607,EN VIVO,1,1,1,1,0.833333333,1
1-143200398532,154,717,INSTALACIÓN,30.056771,POSTERIOR,1,1,,,1,0
1-145137281776,135,1361,TROUBLE CALL,58.439634,EN VIVO,1,1,1,1,1,0
1-144981605942,143,696,INSTALACIÓN,39.326684,POSTERIOR,1,0.833333333,,,1,0
1-145073556688,156,12578,TROUBLE CALL,48.64896,POSTERIOR,1,1,,,0.5,0
1-145191611114,166,10278,FISCALIZACIÓN ESPECIAL,0.017386,EN VIVO,,,,,,1
1-144750049346,156,2530,INSTALACIÓN,23.506187,POSTERIOR,1,1,,,1,0
1-144019845142,161,3350,INSTALACIÓN,25.164755,POSTERIOR,1,0.666666667,,,0,0
1-145151077939,117,698,TROUBLE CALL,16.616914,EN VIVO,1,0.8,1,1,1,0
1-145172481687,139,706,INSTALACIÓN,20.172686,POSTERIOR,1,1,,,1,0
1-144392959809,347,1786,FISCALIZACIÓN ESPECIAL,0.003299,POSTERIOR,,,,,,0
1-145048080185,140,718,TROUBLE CALL,42.947261,POSTERIOR,1,1,,,1,0
1-145168031775,178,712,TROUBLE CALL,43.686204,EN VIVO,1,1,1,1,1,0
1-144967430573,143,696,CAMBIO TOTAL DE ACOMETIDA,0.015512,POSTERIOR,0,1,,,1,0
1-145121431565,196,19361,TROUBLE CALL,58.536871,POSTERIOR,1,1,,,1,0
1-144690740815,140,718,INSTALACIÓN,2.733342,POSTERIOR,1,1,,,1,0
1-145175373732,245,10546,INSTALACIÓN,10.468909,POSTERIOR,1,1,,,1,0
1-145216832619,171,8221,TROUBLE CALL,50.888425,EN VIVO,1,1,1,1,1,0
1-143949101204,97,704,INSTALACIÓN,47.576802,POSTERIOR,1,1,,,1,0
1-144222997309,198,701,INSTALACIÓN,13.801383,POSTERIOR,1,1,,,1,0
1-144955318820,154,717,CAMBIO TOTAL DE ACOMETIDA,0.000464,POSTERIOR,1,1,,,1,0
1-145161325374,166,14216,TROUBLE CALL,47.889282,EN VIVO,1,1,1,1,1,0
1-145128803729,167,8516,FISCALIZACIÓN ESPECIAL,0.004843,EN VIVO,,,,,,1
1-145188192886,196,19361,TROUBLE CALL,17.459632,EN VIVO,1,1,1,1,1,0
1-144461740059,166,14216,TROUBLE CALL,47.682513,POSTERIOR,1,0.666666667,,,0.5,0
1-145159721157,388,14909,CAMBIO TOTAL DE ACOMETIDA,0.000363,POSTERIOR,1,1,,,1,0
1-144626490897,305,14228,TROUBLE CALL,26.777109,POSTERIOR,1,1,,,1,0
1-145119613337,140,718,TROUBLE CALL,7.157398,EN VIVO,1,1,1,1,1,1
1-145170126144,172,700,FISCALIZACIÓN ESPECIAL,0.007084,EN VIVO,,,,,,1
1-145204929543,100,14407,FISCALIZACIÓN ESPECIAL,0.031561,EN VIVO,,,,,,1
1-145110787254,245,10546,CAMBIO TOTAL DE ACOMETIDA,0.000347,POSTERIOR,1,1,,,1,0
1-144608120432,171,8221,INSTALACIÓN,55.362767,POSTERIOR,1,0.833333333,,,1,0
1-145202990164,113,28102,TROUBLE CALL,39.571987,EN VIVO,1,1,1,1,1,0
1-144766449056,156,12578,TROUBLE CALL,54.116733,POSTERIOR,1,1,,,1,0
1-144993015538,166,14216,TROUBLE CALL,59.132082,POSTERIOR,1,1,,,1,0
1-144750049480,156,2530,INSTALACIÓN,4.305958,POSTERIOR,1,0.5,,,0,0
1-145036595172,152,2631,INSTALACIÓN,7.541348,POSTERIOR,0,0.666666667,,,0,0
1-145348508143,113,28102,TROUBLE CALL,20.612613,EN VIVO,1,1,1,1,1,0
1-144533240134,161,3350,CAMBIO TOTAL DE ACOMETIDA,0.00039,POSTERIOR,1,1,,,1,0
1-144868295142,156,12578,INSTALACIÓN,40.369463,POSTERIOR,1,0.666666667,,,1,0
1-144787382078,152,2631,INSTALACIÓN,12.160931,POSTERIOR,1,1,,,1,0
1-143808201907,388,14909,CAMBIO TOTAL DE ACOMETIDA,0.001331,POSTERIOR,1,1,,,1,0
1-143675408082,139,706,INSTALACIÓN,0.003643,POSTERIOR,1,1,,,1,0
1-145416827515,201,703,FISCALIZACIÓN ESPECIAL,0.003608,EN VIVO,,,,,,1
1-145416827515,201,703,TROUBLE CALL,30.503642,EN VIVO,1,1,1,1,1,0
1-144251468562,172,700,INSTALACIÓN,9.283571,POSTERIOR,1,1,,,1,0
1-144967262753,156,12578,INSTALACIÓN,26.163098,POSTERIOR,0,0.5,,,1,0
1-145447640924,388,663,TROUBLE CALL,38.4326,EN VIVO,1,1,1,1,1,0
1-145376156074,189,14461,TROUBLE CALL,22.094008,EN VIVO,1,1,1,1,1,0
1-144347757943,100,14407,TROUBLE CALL,27.976966,POSTERIOR,1,1,,,1,0
1-145278869842,157,11964,TROUBLE CALL,52.821164,EN VIVO,1,1,1,1,0.833333333,0
1-145273764252,196,19361,TROUBLE CALL,30.55432,POSTERIOR,1,1,,,1,0
1-145460671909,97,704,FISCALIZACIÓN ESPECIAL,0.007493,EN VIVO,,,,,,1
1-144872116802,161,3350,CAMBIO TOTAL DE ACOMETIDA,0.000444,POSTERIOR,1,1,,,1,0
1-145432411730,178,712,CAMBIO TOTAL DE ACOMETIDA,0.002301,EN VIVO,1,1,1,1,1,1
1-145436029498,233,715,TROUBLE CALL,34.044512,POSTERIOR,1,1,,,1,0
1-145032761178,403,21262,INSTALACIÓN,51.586735,POSTERIOR,1,1,,,1,0
1-145425153320,113,28102,TROUBLE CALL,46.010581,POSTERIOR,1,0.666666667,,,1,0
1-144747777073,142,19343,INSTALACIÓN,24.835679,POSTERIOR,0,0.833333333,,,1,0
1-145440508323,233,715,INSTALACIÓN,44.756657,EN VIVO,1,1,1,1,0.8,0
1-145452880696,112,705,FISCALIZACIÓN ESPECIAL,0.027288,EN VIVO,,,,,,1
1-145452880696,112,705,TROUBLE CALL,39.854464,EN VIVO,1,1,1,1,0.666666667,0
1-145454493388,157,11964,TROUBLE CALL,32.971842,EN VIVO,1,1,1,1,1,0
1-145261857548,135,1361,CAMBIO TOTAL DE ACOMETIDA,0.000405,POSTERIOR,1,1,,,1,0
1-145261857548,135,1361,TROUBLE CALL,25.703326,POSTERIOR,1,1,,,1,0
1-145253094882,398,15954,INSTALACIÓN,28.049216,POSTERIOR,1,1,,,1,0
1-143907769535,143,696,INSTALACIÓN,30.310596,POSTERIOR,1,1,,,1,0
1-145637960932,139,706,FISCALIZACIÓN ESPECIAL,0.002306,EN VIVO,,,,,,1
1-144622949942,185,7987,FISCALIZACIÓN ESPECIAL,0.001013,POSTERIOR,,,,,,0
1-145300899752,347,1786,INSTALACIÓN,52.729694,POSTERIOR,1,1,,,1,0
1-145643572393,242,716,FISCALIZACIÓN ESPECIAL,0.017549,EN VIVO,,,,,,1
1-145610173955,201,703,FISCALIZACIÓN ESPECIAL,0.008753,POSTERIOR,,,,,,0
1-145333316047,167,8002,TROUBLE CALL,45.897497,POSTERIOR,1,1,,,1,0
1-144770858201,172,700,TROUBLE CALL,4.965014,POSTERIOR,1,0,,,0.5,0
1-145637603722,245,10546,TROUBLE CALL,24.783306,EN VIVO,1,1,1,1,1,0
1-145653008622,201,703,FISCALIZACIÓN ESPECIAL,0.004676,EN VIVO,,,,,,1
1-145653008622,201,703,TROUBLE CALL,47.587071,EN VIVO,1,1,1,1,1,0
1-145123948673,347,3561,INSTALACIÓN,29.965342,POSTERIOR,1,1,,,1,0
1-145666476879,196,19361,TROUBLE CALL,53.056781,EN VIVO,1,1,1,1,0.833333333,0
1-145435776782,305,14228,TROUBLE CALL,32.410032,POSTERIOR,0,1,,,0.5,0
1-145446474711,171,8221,TROUBLE CALL,29.1714,EN VIVO,1,1,1,1,1,0
1-145471812036,347,3561,INSTALACIÓN,22.085037,POSTERIOR,1,1,,,1,0
1-145649906506,201,703,FISCALIZACIÓN ESPECIAL,0.003978,EN VIVO,,,,,,1
1-145530073256,347,1786,INSTALACIÓN,35.228148,POSTERIOR,1,0.666666667,,,1,0
1-145635018605,196,19361,TROUBLE CALL,56.710851,EN VIVO,1,1,1,1,1,0
1-145662160238,171,8221,FISCALIZACIÓN ESPECIAL,0.001904,EN VIVO,,,,,,1
1-145518065140,156,2530,INSTALACIÓN,50.191564,POSTERIOR,1,0.833333333,,,1,0
1-145672141789,233,715,TROUBLE CALL,10.039691,EN VIVO,1,1,1,1,0.833333333,0
1-145652137092,112,705,TROUBLE CALL,43.670777,EN VIVO,1,1,1,1,0.666666667,0
1-145714816775,135,1361,TROUBLE CALL,1.1077,EN VIVO,1,1,1,1,1,1
1-145701152630,185,7987,TROUBLE CALL,3.994648,EN VIVO,1,1,1,1,1,1
1-144908900633,118,14372,TROUBLE CALL,25.461834,POSTERIOR,1,1,,,1,0
1-145682193134,161,10287,FISCALIZACIÓN ESPECIAL,0.102764,EN VIVO,,,,,,1
1-145056082576,399,18883,INSTALACIÓN,4.790367,POSTERIOR,1,1,,,1,0
1-145669129364,113,28102,TROUBLE CALL,28.815437,EN VIVO,1,1,1,1,1,0
1-145608617715,156,12578,TROUBLE CALL,20.223791,EN VIVO,1,1,1,1,1,0
1-145093706061,154,717,INSTALACIÓN,4.109183,POSTERIOR,1,0.5,,,1,0
1-145680333550,143,696,TROUBLE CALL,9.128185,EN VIVO,1,1,1,1,0.833333333,1
1-145683432613,151,1575,TROUBLE CALL,20.05326,EN VIVO,1,1,1,1,1,0
1-145098954882,403,21262,INSTALACIÓN,7.741239,POSTERIOR,1,1,,,1,0
1-145346871480,143,696,CAMBIO TOTAL DE ACOMETIDA,0.005345,POSTERIOR,1,1,,,1,0
1-145507654202,195,22161,INSTALACIÓN,56.631588,POSTERIOR,1,1,,,1,0
1-143276270075,347,3561,INSTALACIÓN,37.467784,POSTERIOR,1,0.833333333,,,1,0
1-144949775834,242,716,INSTALACIÓN,13.524568,POSTERIOR,1,1,,,1,0
1-145600685927,245,10546,FISCALIZACIÓN ESPECIAL,0.033168,EN VIVO,,,,,,0
1-145593878944,156,12578,TROUBLE CALL,56.584143,EN VIVO,1,1,1,1,1,0
1-145562649485,135,1361,TROUBLE CALL,56.911145,EN VIVO,1,1,1,1,1,0
1-144979598573,156,5990,INSTALACIÓN,15.72174,POSTERIOR,1,0.833333333,,,1,0
1-145053292605,118,14372,CAMBIO TOTAL DE ACOMETIDA,0.000474,POSTERIOR,1,1,,,1,0
1-145613947765,100,14407,FISCALIZACIÓN ESPECIAL,0.000566,EN VIVO,,,,,,1
1-145613947765,100,14407,FISCALIZACIÓN ESPECIAL,0.010607,EN VIVO,,,,,,1
1-144969676358,237,2858,TROUBLE CALL,1.838904,POSTERIOR,1,1,,,1,0
1-144624624292,388,14776,TROUBLE CALL,3.641472,POSTERIOR,0,1,,,1,0
1-145554163547,398,15954,TROUBLE CALL,26.01269,EN VIVO,1,1,1,1,1,0
1-145304442232,347,1786,FISCALIZACIÓN ESPECIAL,0.000503,POSTERIOR,,,,,,0
1-144759144622,113,14409,TROUBLE CALL,28.607098,POSTERIOR,1,1,,,1,0
1-144783568393,185,7987,FISCALIZACIÓN ESPECIAL,0.006511,POSTERIOR,,,,,,0
1-145064344861,347,1786,INSTALACIÓN,36.619426,POSTERIOR,1,1,,,1,0
1-145608603021,113,14409,TROUBLE CALL,37.067571,EN VIVO,1,1,1,1,1,0
1-145125965293,156,2530,INSTALACIÓN,20.125229,POSTERIOR,1,0.833333333,,,1,0
1-145132843116,167,8002,TROUBLE CALL,0.79059,POSTERIOR,0,0.333333333,,,1,0
1-145530347792,398,15954,INSTALACIÓN,27.599541,POSTERIOR,1,1,,,1,0
1-145599460359,305,14228,CAMBIO TOTAL DE ACOMETIDA,0.000411,EN VIVO,1,1,1,1,1,1
1-145030783035,152,2631,INSTALACIÓN,55.895815,POSTERIOR,1,1,,,1,0
1-145539783009,167,693,TROUBLE CALL,32.319182,EN VIVO,1,1,1,1,1,0
1-145541379435,196,19361,TROUBLE CALL,2.53685,EN VIVO,1,1,1,1,1,1
1-144960659186,347,3561,INSTALACIÓN,4.094465,POSTERIOR,0,0.666666667,,,1,0
1-145602698736,195,22161,CAMBIO TOTAL DE ACOMETIDA,0.004265,EN VIVO,1,1,1,1,1,1
1-145520570924,112,705,FISCALIZACIÓN ESPECIAL,0.002528,EN VIVO,,,,,,0
1-145440239024,148,1606,TROUBLE CALL,50.72121,EN VIVO,1,0.8,0.666666667,0,1,0
1-145521199162,388,7398,INSTALACIÓN,53.555136,EN VIVO,1,1,1,1,1,0
1-145533009391,171,8221,TROUBLE CALL,33.593905,EN VIVO,1,1,1,1,1,0
1-145538814620,157,11964,TROUBLE CALL,35.51499,POSTERIOR,1,1,,,1,0
1-145267018866,245,10546,CAMBIO TOTAL DE ACOMETIDA,0.005127,POSTERIOR,1,1,,,1,0
1-145437972302,398,15954,INSTALACIÓN,9.385069,POSTERIOR,1,0.833333333,,,1,0
1-144971656652,196,19361,INSTALACIÓN,47.731808,POSTERIOR,1,0.333333333,,,1,0
1-145216462256,196,19361,INSTALACIÓN,15.384245,POSTERIOR,1,0.833333333,,,0,0
1-144703616771,196,19361,INSTALACIÓN,43.439303,POSTERIOR,1,1,,,1,0
1-145380133986,118,14372,INSTALACIÓN,4.942212,POSTERIOR,1,1,,,1,0
1-145618181050,139,706,FISCALIZACIÓN ESPECIAL,0.01682,EN VIVO,,,,,,1
1-144830805751,185,7987,CAMBIO TOTAL DE ACOMETIDA,0.002797,POSTERIOR,1,1,,,1,0
1-145524724599,113,28102,TROUBLE CALL,10.437535,EN VIVO,1,1,1,1,1,0
1-145535516224,139,706,FISCALIZACIÓN ESPECIAL,0.005963,EN VIVO,,,,,,1
1-145040468909,118,14372,INSTALACIÓN,34.883041,POSTERIOR,1,1,,,1,0
1-145600588658,171,8221,TROUBLE CALL,55.104114,EN VIVO,1,1,1,1,1,0
1-144994191154,97,704,INSTALACIÓN,44.969653,POSTERIOR,1,0.666666667,,,0,0
1-144753687183,156,5990,INSTALACIÓN,4.142721,POSTERIOR,1,1,,,1,0
1-142821328799,305,14228,CAMBIO TOTAL DE ACOMETIDA,0.000534,POSTERIOR,1,1,,,1,0
1-145556932690,242,716,TROUBLE CALL,10.487426,EN VIVO,1,1,1,1,0.833333333,0
1-145538702550,166,14216,TROUBLE CALL,43.70396,EN VIVO,1,1,1,1,1,0
1-145096209242,172,700,INSTALACIÓN,4.984607,EN VIVO,1,1,1,0,1,1
1-145094846036,347,1786,INSTALACIÓN,36.508179,POSTERIOR,1,1,,,1,0
1-144983809048,166,14216,TROUBLE CALL,59.232931,POSTERIOR,0,1,,,1,0
1-144769230442,178,712,INSTALACIÓN,2.388302,POSTERIOR,1,1,,,1,0
1-145537276396,172,700,TROUBLE CALL,34.483162,EN VIVO,1,1,1,1,0.833333333,0
1-145413520616,201,703,INSTALACIÓN,24.39827,POSTERIOR,1,0.833333333,,,1,0
1-145574501648,172,700,TROUBLE CALL,33.38401,EN VIVO,1,1,1,1,0.833333333,0
1-145533994306,112,705,INSTALACIÓN,42.25887,POSTERIOR,1,1,,,0,0
1-145099215062,118,14372,CAMBIO TOTAL DE ACOMETIDA,0.000511,POSTERIOR,1,1,,,1,0
1-145421619541,154,717,INSTALACIÓN,25.029313,POSTERIOR,0,0.833333333,,,1,0
1-143891128654,97,704,INSTALACIÓN,8.388917,POSTERIOR,1,0.166666667,,,1,0
1-145206820702,152,2631,INSTALACIÓN,22.353103,POSTERIOR,1,0.833333333,,,0,0
1-145122327000,185,7987,CAMBIO TOTAL DE ACOMETIDA,0.000323,POSTERIOR,1,1,,,1,0
1-145036777161,347,1786,INSTALACIÓN,6.249348,POSTERIOR,0,0.5,,,1,0
1-145131438115,185,7987,TROUBLE CALL,22.357529,POSTERIOR,0,0.666666667,,,0.5,0
1-145311885532,398,15954,INSTALACIÓN,53.884541,POSTERIOR,1,1,,,1,0
1-145563620660,112,705,FISCALIZACIÓN ESPECIAL,0.006263,EN VIVO,,,,,,1
1-145335447826,113,28102,TROUBLE CALL,25.677,EN VIVO,1,0.8,1,1,1,0
1-144607023212,201,703,INSTALACIÓN,41.974084,POSTERIOR,1,1,,,1,0
1-145469485516,242,716,FISCALIZACIÓN ESPECIAL,0.008216,EN VIVO,,,,,,1
1-145469485516,242,716,TROUBLE CALL,49.112265,EN VIVO,1,1,1,1,0.666666667,0
1-142821328865,305,14228,CAMBIO TOTAL DE ACOMETIDA,0.000179,POSTERIOR,1,1,,,1,0
1-144627612445,156,5990,FISCALIZACIÓN ESPECIAL,0.022814,POSTERIOR,,,,,,0
1-144627612445,156,5990,INSTALACIÓN,46.468876,POSTERIOR,1,0.5,,,0,0
1-141401750721,117,698,TROUBLE CALL,29.76811,POSTERIOR,1,1,,,1,0
1-144958342068,388,14776,TROUBLE CALL,56.597481,POSTERIOR,1,1,,,1,0
1-145172029927,113,14409,INSTALACIÓN,37.783952,POSTERIOR,0,1,,,1,0
1-145523100722,398,15954,TROUBLE CALL,5.019107,EN VIVO,1,1,1,1,1,1
1-145118168994,156,5990,FISCALIZACIÓN ESPECIAL,0.00063,POSTERIOR,,,,,,0
1-145543530178,388,14909,FISCALIZACIÓN ESPECIAL,0.002705,EN VIVO,,,,,,1
1-145236149519,388,14909,TROUBLE CALL,34.846215,POSTERIOR,1,1,,,1,0
1-145414898157,185,7987,TROUBLE CALL,9.419127,POSTERIOR,1,1,,,1,0
1-144005712111,156,12578,INSTALACIÓN,20.98485,POSTERIOR,1,0.5,,,1,0
1-145179432107,172,700,TROUBLE CALL,12.037737,POSTERIOR,1,1,,,1,0
1-144811685152,388,14776,CAMBIO TOTAL DE ACOMETIDA,0.000409,POSTERIOR,1,1,,,1,0
1-144226763343,388,14909,TROUBLE CALL,19.011211,POSTERIOR,1,1,,,1,0
1-144366060996,242,12002,TROUBLE CALL,35.965363,POSTERIOR,1,1,,,1,0
1-144566307150,245,10546,TROUBLE CALL,55.117916,POSTERIOR,1,0.666666667,,,1,0
1-144228044731,142,19343,TROUBLE CALL,49.909724,POSTERIOR,0,0.666666667,,,1,0
1-145440058880,196,19361,TROUBLE CALL,47.677417,POSTERIOR,1,0.666666667,,,1,0
1-145446311799,156,12578,TROUBLE CALL,23.484274,EN VIVO,1,1,1,1,1,0
1-145124584720,201,703,FISCALIZACIÓN ESPECIAL,0.003457,POSTERIOR,,,,,,0
1-145494213658,201,703,TROUBLE CALL,48.617403,EN VIVO,1,1,1,1,1,0
1-144967546252,148,1606,INSTALACIÓN,28.250366,POSTERIOR,1,1,,,1,0
1-145067701019,388,14776,CAMBIO TOTAL DE ACOMETIDA,0.000199,POSTERIOR,1,1,,,1,0
1-144928640834,167,693,INSTALACIÓN,16.050354,POSTERIOR,1,1,,,1,0
1-145507624456,97,704,TROUBLE CALL,5.96043,EN VIVO,1,1,1,1,1,1
1-145439809202,97,704,TROUBLE CALL,57.88388,POSTERIOR,1,1,,,1,0
1-145248777366,233,715,INSTALACIÓN,23.067933,EN VIVO,1,1,1,1,0.8,0
1-143451617907,161,10287,INSTALACIÓN,5.595832,POSTERIOR,0,0.166666667,,,1,0
1-144968535502,156,12578,INSTALACIÓN,35.723506,POSTERIOR,1,0.333333333,,,1,0
1-145732444681,156,12578,TROUBLE CALL,42.365985,EN VIVO,1,1,1,1,1,0
1-145672881391,118,14372,FISCALIZACIÓN ESPECIAL,0.004123,EN VIVO,,,,,,1
1-145750237519,167,8002,FISCALIZACIÓN ESPECIAL,0.001084,EN VIVO,,,,,,1
1-145750237519,167,8002,TROUBLE CALL,37.94282,EN VIVO,1,1,1,1,1,0
1-145644745118,403,21262,CAMBIO TOTAL DE ACOMETIDA,0.000465,EN VIVO,1,1,1,1,1,1
1-144639684169,156,5990,INSTALACIÓN,23.742555,POSTERIOR,1,1,,,0,0
1-145719316816,113,14409,TROUBLE CALL,29.34289,POSTERIOR,0,0.333333333,,,1,0
1-145201630298,167,693,INSTALACIÓN,15.573992,POSTERIOR,1,1,,,1,0
1-145911286573,142,19343,TROUBLE CALL,3.507484,EN VIVO,1,1,1,1,0.833333333,1
1-145917014789,201,703,FISCALIZACIÓN ESPECIAL,0.000719,EN VIVO,,,,,,1
1-145318154322,305,14228,INSTALACIÓN,39.352827,POSTERIOR,1,1,,,1,0
1-144805792462,245,10546,INSTALACIÓN,29.094342,POSTERIOR,1,1,,,1,0
1-145827941117,100,14407,TROUBLE CALL,41.827539,EN VIVO,1,1,1,1,0.833333333,0
1-144273352655,185,7987,TROUBLE CALL,48.920387,POSTERIOR,1,0.666666667,,,0.5,0
1-145312548380,403,21262,INSTALACIÓN,44.643238,POSTERIOR,1,1,,,1,0
1-145907857143,388,7398,TROUBLE CALL,3.201078,EN VIVO,1,1,1,1,1,1
1-144915512117,388,14909,CAMBIO TOTAL DE ACOMETIDA,0.009059,POSTERIOR,1,1,,,1,0
1-145206821113,152,2631,FISCALIZACIÓN ESPECIAL,0.002692,POSTERIOR,,,,,,0
1-145206821113,152,2631,INSTALACIÓN,12.820374,POSTERIOR,1,0.833333333,,,1,0
1-145909527749,113,14409,TROUBLE CALL,54.647255,EN VIVO,1,1,1,1,0.833333333,0
1-145688429283,178,712,CAMBIO TOTAL DE ACOMETIDA,0.005065,EN VIVO,1,1,1,1,1,1
1-145279376905,156,2530,INSTALACIÓN,28.323318,POSTERIOR,1,1,,,1,0
1-145937678955,398,15954,FISCALIZACIÓN ESPECIAL,0.000713,EN VIVO,,,,,,1
1-145916013804,178,712,TROUBLE CALL,29.573961,EN VIVO,1,1,1,1,1,0
1-144367248924,156,5990,FISCALIZACIÓN ESPECIAL,0.00078,POSTERIOR,,,,,,0
1-145902684462,135,1361,INSTALACIÓN,25.988128,EN VIVO,1,1,1,1,1,0
1-145748629166,185,7987,FISCALIZACIÓN ESPECIAL,0.004163,POSTERIOR,,,,,,0
1-144301806224,154,717,TROUBLE CALL,31.518851,POSTERIOR,1,1,,,0,0
1-145023621082,166,10278,INSTALACIÓN,37.785688,POSTERIOR,1,1,,,1,0
1-145772175822,398,15954,INSTALACIÓN,35.723864,POSTERIOR,1,1,,,1,0
1-144611728332,403,21262,INSTALACIÓN,5.789427,POSTERIOR,1,1,,,1,0
1-145887508049,154,717,TROUBLE CALL,19.537251,EN VIVO,1,1,1,1,1,0
1-145373943262,156,2530,INSTALACIÓN,21.747231,POSTERIOR,1,0.833333333,,,1,0
1-145391167782,100,14407,TROUBLE CALL,28.650939,POSTERIOR,1,0.666666667,,,0.5,0
1-145446703032,172,700,INSTALACIÓN,52.594828,POSTERIOR,1,1,,,1,0
1-145768615499,112,705,TROUBLE CALL,26.793147,EN VIVO,0.8,1,1,1,0.666666667,0
1-145896084774,161,10287,TROUBLE CALL,58.953323,EN VIVO,1,1,1,1,1,0
1-144015572586,178,712,INSTALACIÓN,3.050749,POSTERIOR,0,1,,,1,0
1-145635939652,198,701,INSTALACIÓN,49.860045,POSTERIOR,0,0.5,,,1,0
1-145099225606,242,716,INSTALACIÓN,14.950469,POSTERIOR,1,1,,,1,0
1-145604491562,195,22161,FISCALIZACIÓN ESPECIAL,0.005265,POSTERIOR,,,,,,0
1-145832135210,140,718,TROUBLE CALL,7.34432,POSTERIOR,1,1,,,1,0
1-145795365063,305,14228,CAMBIO TOTAL DE ACOMETIDA,0.000175,EN VIVO,1,1,1,1,1,1
1-145564596642,233,715,INSTALACIÓN,55.103945,POSTERIOR,1,1,,,1,0
1-145896318285,140,718,TROUBLE CALL,53.110696,EN VIVO,1,1,1,1,1,0
1-145862772003,167,8516,FISCALIZACIÓN ESPECIAL,0.00388,EN VIVO,,,,,,1
1-145646121190,172,700,INSTALACIÓN,20.940144,POSTERIOR,1,1,,,1,0
1-145239710072,198,701,INSTALACIÓN,56.707032,POSTERIOR,1,1,,,1,0
1-145681429416,242,12002,INSTALACIÓN,55.103112,POSTERIOR,1,1,,,1,0
1-145686614315,171,8221,TROUBLE CALL,1.961235,POSTERIOR,1,1,,,1,0
1-145362656892,189,14461,INSTALACIÓN,35.5438,POSTERIOR,1,1,,,1,0
1-145879074242,189,14461,INSTALACIÓN,37.066651,POSTERIOR,1,1,,,1,0
1-145052933373,156,5990,INSTALACIÓN,39.602159,POSTERIOR,1,0.666666667,,,0,0
1-144474636985,242,716,TROUBLE CALL,55.543367,POSTERIOR,1,1,,,1,0
1-145605854378,148,1606,FISCALIZACIÓN ESPECIAL,0.024088,EN VIVO,,,,,,1
1-144500199706,388,7398,TROUBLE CALL,20.094251,POSTERIOR,1,1,,,1,0
1-145571839492,201,703,TROUBLE CALL,4.62281,POSTERIOR,1,1,,,1,0
1-145595229082,139,706,INSTALACIÓN,44.328828,POSTERIOR,1,1,,,1,0
1-144221926484,113,14409,INSTALACIÓN,33.772684,POSTERIOR,0,0.666666667,,,0,0
1-145913748658,388,7398,TROUBLE CALL,9.086302,EN VIVO,1,1,1,1,1,1
1-145784584272,166,14216,TROUBLE CALL,51.625483,EN VIVO,1,1,1,1,1,0
1-145447124664,167,693,INSTALACIÓN,15.361526,POSTERIOR,1,0.666666667,,,1,0
1-145781091766,195,22161,TROUBLE CALL,39.451555,EN VIVO,1,1,1,1,1,0
1-145833281020,305,14228,FISCALIZACIÓN ESPECIAL,0.003356,EN VIVO,,,,,,1
1-145457847440,139,706,INSTALACIÓN,1.526883,POSTERIOR,1,1,,,1,0
1-145795348224,166,10278,TROUBLE CALL,19.168811,EN VIVO,1,1,1,1,1,0
1-145713696012,398,15954,INSTALACIÓN,12.302685,POSTERIOR,1,0.833333333,,,1,0
1-145823845682,148,1606,FISCALIZACIÓN ESPECIAL,0.025775,EN VIVO,,,,,,1
1-145853180802,112,705,FISCALIZACIÓN ESPECIAL,0.015018,EN VIVO,,,,,,1
1-144986578493,161,10287,FISCALIZACIÓN ESPECIAL,0.000497,POSTERIOR,,,,,,0
1-145709614138,156,12578,FISCALIZACIÓN ESPECIAL,0.006497,EN VIVO,,,,,,1
1-145522489750,156,2530,INSTALACIÓN,48.22329,POSTERIOR,1,1,,,1,0
