NUMEROORDEN,IDCERCO,IDFISCAL,EVENTO,TIEMPO,MODOFISCALIZACION,PROCESOS,EJECUCION,ADMINISTRACION,SEGURIDAD,ENTREGA,FLAG_AUDITAR
1-144575179417,185,7987,TROUBLE CALL,8.431664,EN VIVO,1,1,1,1,1,1
1-144565383857,167,693,TROUBLE CALL,29.737481,EN VIVO,1,1,1,1,1,0
1-143229181617,113,28102,TROUBLE CALL,26.341335,POSTERIOR,1,1,,,1,0
1-144525472752,388,663,TROUBLE CALL,56.948702,EN VIVO,1,1,1,1,1,0
1-143500409682,112,705,FISCALIZACIÓN ESPECIAL,0.021252,POSTERIOR,,,,,,0
1-144545636522,403,21262,TROUBLE CALL,2.85789,EN VIVO,1,1,1,1,1,1
1-144242604322,113,14409,FISCALIZACIÓN ESPECIAL,0.005959,EN VIVO,,,,,,0
1-143537917024,156,5990,INSTALACIÓN,44.199907,POSTERIOR,1,0.833333333,,,0,0
1-143824910894,195,22161,FISCALIZACIÓN ESPECIAL,0.000584,POSTERIOR,,,,,,0
1-143352553896,195,22161,TROUBLE CALL,30.882897,POSTERIOR,0,0.666666667,,,0.5,0
1-144300477488,189,14461,TROUBLE CALL,18.725394,POSTERIOR,1,1,,,1,0
1-144128229683,157,11964,CAMBIO TOTAL DE ACOMETIDA,0.000377,POSTERIOR,1,1,,,1,0
1-144128229683,157,11964,TROUBLE CALL,31.999165,POSTERIOR,1,1,,,1,0
1-144490935054,178,712,TROUBLE CALL,5.883967,EN VIVO,1,1,1,1,1,1
1-143128992925,140,718,TROUBLE CALL,7.347227,POSTERIOR,1,1,,,1,0
1-142335738814,156,5990,INSTALACIÓN,0.004222,POSTERIOR,1,1,,,1,0
1-144480877104,140,718,TROUBLE CALL,43.380961,POSTERIOR,0,0.333333333,,,1,0
1-144378964702,388,14909,INSTALACIÓN,0.093726,POSTERIOR,1,1,,,1,0
1-144300740237,388,663,TROUBLE CALL,27.512511,POSTERIOR,0,1,,,1,0
1-142919741860,237,2858,TROUBLE CALL,16.209975,POSTERIOR,1,1,,,1,0
1-142014416971,347,3561,INSTALACIÓN,56.909376,POSTERIOR,1,1,,,0,0
1-143731550602,140,718,INSTALACIÓN,48.407292,EN VIVO,1,1,1,1,1,0
1-144467904674,305,14228,FISCALIZACIÓN ESPECIAL,0.042407,EN VIVO,,,,,,1
1-143831593619,166,10278,TROUBLE CALL,55.119629,POSTERIOR,1,1,,,1,0
1-141046225810,305,14228,CAMBIO TOTAL DE ACOMETIDA,0.000363,POSTERIOR,1,1,,,1,0
1-143594686954,242,12002,INSTALACIÓN,16.000147,POSTERIOR,1,1,,,1,0
1-144431328745,347,1786,FISCALIZACIÓN ESPECIAL,0.033137,EN VIVO,,,,,,1
1-144462520918,388,14776,TROUBLE CALL,0.046832,EN VIVO,1,1,1,1,1,1
1-143177375965,388,14776,TROUBLE CALL,16.128705,POSTERIOR,1,1,,,1,0
1-144442392719,154,717,CAMBIO TOTAL DE ACOMETIDA,0.004299,POSTERIOR,0,1,,,1,0
1-144442392719,154,717,FISCALIZACIÓN ESPECIAL,0.006965,POSTERIOR,,,,,,0
1-139181382292,305,14228,TROUBLE CALL,15.522468,POSTERIOR,1,1,,,1,0
1-139190889196,305,14228,CAMBIO TOTAL DE ACOMETIDA,0.000177,POSTERIOR,1,1,,,1,0
1-144460125081,118,14372,TROUBLE CALL,16.998935,EN VIVO,1,1,1,1,1,0
1-143632972791,161,10287,TROUBLE CALL,46.456346,POSTERIOR,1,1,,,1,0
1-143153211680,347,1786,INSTALACIÓN,38.424424,POSTERIOR,1,1,,,1,0
1-143323381662,178,712,INSTALACIÓN,38.347823,POSTERIOR,1,1,,,1,0
1-144493853785,201,703,TROUBLE CALL,55.824225,EN VIVO,1,1,1,1,1,0
1-143585161324,135,1361,TROUBLE CALL,15.394453,POSTERIOR,1,1,,,1,0
1-144485012399,201,703,FISCALIZACIÓN ESPECIAL,0.001514,EN VIVO,,,,,,1
1-144864386062,196,19361,TROUBLE CALL,49.981913,POSTERIOR,1,0.333333333,,,0,0
1-144950201012,233,715,TROUBLE CALL,12.091487,EN VIVO,1,1,1,1,0.833333333,0
1-143406364732,118,14372,INSTALACIÓN,59.02648,POSTERIOR,1,0.666666667,,,1,0
1-144466083100,140,718,TROUBLE CALL,35.371802,POSTERIOR,1,1,,,1,0
1-144784826429,166,14216,TROUBLE CALL,0.772839,EN VIVO,1,1,1,1,1,1
1-144337899492,189,14461,INSTALACIÓN,25.007825,POSTERIOR,1,1,,,1,0
1-143492853942,201,703,INSTALACIÓN,30.704313,POSTERIOR,1,0.833333333,,,1,0
1-144945280686,178,712,TROUBLE CALL,13.026425,EN VIVO,1,1,1,1,1,0
1-144906429062,113,14409,TROUBLE CALL,42.748315,POSTERIOR,1,1,,,1,0
1-144412190542,113,28102,INSTALACIÓN,57.911916,POSTERIOR,1,1,,,1,0
1-144733902495,135,1361,TROUBLE CALL,30.630105,POSTERIOR,1,1,,,1,0
1-144822958812,388,7398,TROUBLE CALL,35.586071,EN VIVO,1,1,1,1,1,0
1-144916750840,185,7987,FISCALIZACIÓN ESPECIAL,0.045787,EN VIVO,,,,,,1
1-144615555350,161,3350,TROUBLE CALL,50.709529,POSTERIOR,1,1,,,1,0
1-144864395499,151,1575,CAMBIO TOTAL DE ACOMETIDA,0.000219,POSTERIOR,1,1,,,1,0
1-144673122272,196,19361,INSTALACIÓN,8.844738,POSTERIOR,1,0,,,0,0
1-144926505308,139,706,TROUBLE CALL,58.083785,EN VIVO,1,1,1,1,1,0
1-144861609759,388,14776,TROUBLE CALL,19.020132,POSTERIOR,1,1,,,1,0
1-144708757653,118,14372,TROUBLE CALL,21.741501,EN VIVO,1,1,1,1,1,0
1-144911144837,166,14216,TROUBLE CALL,12.139443,EN VIVO,1,1,1,1,1,0
1-144617248750,347,1786,INSTALACIÓN,34.382143,POSTERIOR,1,1,,,1,0
1-144883475661,201,703,FISCALIZACIÓN ESPECIAL,0.005427,EN VIVO,,,,,,1
1-144425730862,198,701,INSTALACIÓN,52.601854,POSTERIOR,1,1,,,1,0
1-143992787821,154,717,FISCALIZACIÓN ESPECIAL,0.00522,POSTERIOR,,,,,,0
1-144753065573,152,2631,INSTALACIÓN,33.380891,POSTERIOR,1,1,,,0,0
1-144754394316,156,2530,INSTALACIÓN,28.793993,POSTERIOR,1,1,,,1,0
1-144697119882,245,10546,FISCALIZACIÓN ESPECIAL,0.001652,EN VIVO,,,,,,1
1-144697119882,245,10546,INSTALACIÓN,56.901143,EN VIVO,1,1,1,1,1,0
1-145004285411,167,8516,TROUBLE CALL,18.279407,EN VIVO,1,1,1,1,1,0
1-144875890246,143,696,TROUBLE CALL,52.86302,EN VIVO,1,1,1,1,0.833333333,0
1-144094924800,198,701,TROUBLE CALL,16.12224,POSTERIOR,1,1,,,1,0
1-144834071991,172,700,TROUBLE CALL,22.427048,EN VIVO,1,1,1,1,1,0
1-144534772690,109,24323,INSTALACIÓN,1.250205,POSTERIOR,1,1,,,1,0
1-144426734966,347,3561,INSTALACIÓN,25.189132,POSTERIOR,1,1,,,1,0
1-144875890395,140,718,TROUBLE CALL,0.868969,EN VIVO,1,1,1,1,1,1
1-144895135164,143,696,TROUBLE CALL,11.552183,EN VIVO,1,1,1,1,1,0
1-144884056937,388,7398,TROUBLE CALL,7.060543,EN VIVO,1,1,1,1,1,1
1-144873544593,172,700,CAMBIO TOTAL DE ACOMETIDA,0.00029,POSTERIOR,1,1,,,1,0
1-144420086963,388,7398,INSTALACIÓN,28.691284,POSTERIOR,0,0.666666667,,,0,0
1-144868522792,161,10287,FISCALIZACIÓN ESPECIAL,0.004125,EN VIVO,,,,,,1
1-144892788336,166,14216,TROUBLE CALL,9.248627,EN VIVO,1,1,1,1,1,1
1-144619912762,398,15954,INSTALACIÓN,47.368285,POSTERIOR,1,1,,,1,0
1-144883779534,167,693,TROUBLE CALL,33.455287,EN VIVO,1,1,1,1,1,0
1-144877863342,167,693,TROUBLE CALL,34.318947,EN VIVO,1,1,1,1,1,0
1-144061829998,143,696,INSTALACIÓN,42.288802,POSTERIOR,1,1,,,1,0
1-144469354986,112,705,INSTALACIÓN,33.135211,POSTERIOR,1,0.833333333,,,0,0
1-144170745767,156,5990,INSTALACIÓN,27.613856,POSTERIOR,1,1,,,1,0
1-144789086719,195,22161,TROUBLE CALL,17.132063,EN VIVO,1,1,1,1,1,0
1-144071406089,151,1575,TROUBLE CALL,59.388504,POSTERIOR,1,1,,,1,0
1-144708686835,388,7398,TROUBLE CALL,8.924557,EN VIVO,1,1,1,1,1,1
